# index, id, name, group, _pos
0,1,Samir_Kashk,4,"array([-0.45667855,  1.52013403])"
1,5,Essid_Sami_Ben_Khemais,4,"array([-0.54533753,  1.40311565])"
2,2,Madjid_Sahoune,4,"array([-0.43868948,  1.36990559])"
3,3,Fahid_al_Shakri,4,"array([-0.40985337,  1.43747162])"
4,4,Lased_Ben_Heni,4,"array([-0.47601296,  1.45845923])"
5,7,Mohamed_Bensakhria,4,"array([-0.54472962,  1.47300799])"
6,6,Seifallah_ben_Hassine,4,"array([-0.58876266,  1.36791684])"
7,8,Mehdi_Khammoun,4,"array([-0.54896133,  1.53507029])"
8,9,Essoussi_Laaroussi,4,"array([-0.60561597,  1.46277725])"
9,10,Tarek_Maaroufi,4,"array([-0.64735196,  1.41336578])"
10,11,Haydar_Abu_Doha,4,"array([-0.62383259,  1.52061235])"
11,32,Mohamed_Atta,0,"array([-0.66339297,  1.16062586])"
12,13,Abu_Qatada,4,"array([-0.77531643,  1.42643652])"
13,23,Imad_Eddin_Barakat_Yarkas,4,"array([-0.70084245,  1.31927972])"
14,12,Ahmed_Ressam,4,"array([-0.72219004,  1.47455908])"
15,22,Zacarias_Moussaoui,4,"array([-0.78680368,  1.3462684 ])"
16,14,Abu_Walid,4,"array([-0.82886393,  1.51686484])"
17,18,Djamal_Beghal,4,"array([-0.89907046,  1.47109829])"
18,19,Kamel_Daoudi,4,"array([-0.89350376,  1.52643463])"
19,15,Jean-Marc_Grandvisir,4,"array([-1.00378765,  1.52863179])"
20,16,Abu_Zubeida,4,"array([-0.94491949,  1.58847842])"
21,17,Mizar_Trabelsi,4,"array([-1.01006997,  1.44987294])"
22,20,Jerome_Courtaillier,4,"array([-0.87615949,  1.41781597])"
23,21,David_Courtaillier,4,"array([-0.89627935,  1.34995284])"
24,24,Ramzi_Bin_al-Shibh,4,"array([-0.71570791,  1.23257164])"
25,25,Mohammed_Belfas,4,"array([-0.81425638,  1.2532938 ])"
26,29,Agus_Budiman,4,"array([-0.74637059,  1.19670521])"
27,30,Mounir_El_Motassadeq,4,"array([-0.63619347,  1.23495778])"
28,31,Zakariya_Essabar,4,"array([-0.71965065,  1.15244183])"
29,36,Said_Bahaji,4,"array([-0.66995444,  1.20074764])"
30,37,Ziad_Jarrah,2,"array([-0.69513696,  1.10060973])"
31,38,Marwan_Al-Shehhi,3,"array([-0.63868367,  1.11864007])"
32,26,Abdelghani_Mzoudi,4,"array([-0.80666628,  1.12095811])"
33,27,Ahmed_Khalil_Ibrahim_Samir_Al-Ani,4,"array([-0.81546651,  1.18214958])"
34,28,Mustafa_Ahmed_al-Hisawi,4,"array([-0.54516014,  1.17032001])"
35,33,Fayez_Ahmed,3,"array([-0.55243608,  1.09929775])"
36,40,Waleed_Alshehri,0,"array([-0.51204532,  1.11637799])"
37,35,Mamoun_Darkazanli,4,"array([-0.57104351,  1.21900173])"
38,39,Wail_Alshehri,0,"array([-0.58365122,  1.13075869])"
39,42,Satam_Suqami,0,"array([-0.54401895,  1.05365046])"
40,43,Abdul_Aziz_Al-Omari,0,"array([-0.61513428,  1.06787185])"
41,44,Lotfi_Raissi,4,"array([-0.74682608,  1.07588009])"
42,45,Ahmed_Al_Haznawi,2,"array([-0.62382391,  1.02396411])"
43,51,Hani_Hanjour,1,"array([-0.72807545,  1.01483485])"
44,57,Nawaf_Alhazmi,1,"array([-0.65958209,  0.9300756 ])"
45,41,Mohand_Alshehri,3,"array([-0.4592218 ,  1.03616675])"
46,34,Mamduh_Mahmud_Salim,4,"array([-0.45104584,  1.24379638])"
47,50,Salem_Alhazmi,1,"array([-0.68011356,  0.9978224 ])"
48,48,Hamza_Alghamdi,3,"array([-0.56589354,  0.98213123])"
49,46,Raed_Hijazi,4,"array([-0.4505598 ,  0.95056501])"
50,47,Nabil_al-Marabh,4,"array([-0.50490659,  0.95641995])"
51,49,Ahmed_Alghamdi,3,"array([-0.61755735,  0.9679263 ])"
52,53,Rayed_Mohammed_Abdullah,4,"array([-0.81800349,  1.00691818])"
53,62,Saeed_Alghamdi,2,"array([-0.55008299,  0.9225275 ])"
54,61,Ahmed_Alnami,2,"array([-0.57457175,  0.8683615 ])"
55,55,Majed_Moqed,1,"array([-0.74532704,  0.93929844])"
56,56,Khalid_Al-Mihdhar,1,"array([-0.71803058,  0.89473471])"
57,52,Bandar_Alhazmi,4,"array([-0.83300944,  0.93586184])"
58,54,Raisal_Al_Salmi,4,"array([-0.87328382,  0.99656775])"
59,58,Osama_Awadallah,4,"array([-0.68890887,  0.82212901])"
60,59,Abdussattar_Shaikh,4,"array([-0.74337883,  0.82758882])"
61,60,Mohamed_Abdi,4,"array([-0.61904915,  0.79465514])"
