"seed","PLci","percolation"
1,0.021484375,62
2,0.01953125,445
3,0.017578125,78
4,0.048828125,522
5,0.025390625,68
6,0.046875,505
7,0.029296875,174
8,0.025390625,918
9,0.029296875,54
10,0.03125,305
11,0.017578125,68
12,0.041015625,402
13,0.025390625,52
14,0.0390625,380
15,0.029296875,70
16,0.025390625,492
17,0.025390625,40
18,0.01953125,210
19,0.017578125,44
20,0.041015625,270
21,0.025390625,38
22,0.0234375,285
23,0.017578125,76
24,0.033203125,402
25,0.021484375,30
26,0.015625,335
27,0.029296875,50
28,0.029296875,390
29,0.017578125,32
30,0.03125,405
31,0.029296875,70
32,0.025390625,516
33,0.029296875,42
34,0.0234375,345
35,0.029296875,54
36,0.021484375,432
37,0.017578125,38
38,0.03125,390
39,0.029296875,58
40,0.041015625,504
41,0.029296875,40
42,0.03125,230
43,0.029296875,50
44,0.041015625,312
45,0.025390625,42
46,0.0234375,310
47,0.029296875,78
48,0.033203125,372
49,0.021484375,30
50,0.03125,265
51,0.017578125,40
52,0.029296875,330
53,0.025390625,34
54,0.0234375,330
55,0.017578125,60
56,0.025390625,390
57,0.017578125,20
58,0.015625,39
59,0.021484375,42
60,0.025390625,180
61,0.017578125,24
62,0.029296875,270
63,0.017578125,44
64,0.033203125,124
65,0.029296875,416
66,0.02734375,27
67,0.03125,41
68,0.09765625,357
69,0.0234375,77
70,0.02734375,37
71,0.03125,90
72,0.05859375,2583
73,0.09375,113
74,0.099609375,280
75,0.03515625,51
76,0.03125,156
77,0.03125,40
78,0.025390625,216
79,0.02734375,32
80,0.03125,37
81,0.03515625,258
82,0.0234375,36
83,0.02734375,28
84,0.03125,40
85,0.107421875,1044
86,0.03515625,88
87,0.041015625,208
88,0.03515625,35
89,0.04296875,102
90,0.03125,40
91,0.029296875,168
92,0.02734375,21
93,0.03125,25
94,0.0546875,183
95,0.0234375,30
96,0.02734375,20
97,0.03125,40
98,0.029296875,852
99,0.03515625,56
100,0.041015625,130
101,0.03515625,36
102,0.04296875,120
103,0.03125,18
104,0.029296875,212
105,0.02734375,23
106,0.03125,27
107,0.0390625,165
108,0.0234375,33
109,0.02734375,19
110,0.03125,36
111,0.029296875,660
112,0.03515625,56
113,0.041015625,158
114,0.03515625,33
115,0.04296875,108
116,0.03125,31
117,0.021484375,232
118,0.02734375,25
119,0.03125,29
120,0.0390625,117
121,0.0234375,38
122,0.02734375,22
123,0.03125,35
124,0.029296875,768
125,0.03515625,48
126,0.029296875,126
127,0.03515625,34
128,0.04296875,90
129,0.03125,28
130,0.021484375,200
131,0.02734375,20
132,0.03125,27
133,0.03515625,195
134,0.0234375,35
135,0.02734375,23
136,0.03125,41
137,0.033203125,564
138,0.03515625,61
139,0.029296875,146
140,0.03515625,37
141,0.02734375,105
142,0.03125,28
143,0.021484375,176
