"seed","PLci","percolation"
1,0.651785714285714,802
2,0.267857142857143,2275
3,0.4375,2528
4,0.1875,2384
5,0.214285714285714,438
6,0.883928571428571,1626
7,0.178571428571429,2240
8,2.24107142857143,2600
9,0.616071428571429,0
10,0.348214285714286,2448
11,0.267857142857143,1296
12,0.419642857142857,2010
13,0.375,2232
14,0.214285714285714,1450
15,2.20535714285714,1672
16,0.446428571428571,1958
17,0.366071428571429,842
18,0.526785714285714,3168
19,0.339285714285714,3575
20,0.401785714285714,3104
21,0.276785714285714,1324
22,0.392857142857143,1296
23,0.616071428571429,884
24,0.696428571428571,1995
25,0.205357142857143,1806
26,0.285714285714286,1963
27,0.366071428571429,760
28,0.223214285714286,1316
29,0.955357142857143,3120
30,0.276785714285714,1584
31,0.571428571428571,1720
32,0.392857142857143,1727
33,2.20535714285714,2070
34,0.401785714285714,1732
35,0.276785714285714,1146
36,0.285714285714286,1255
37,0.276785714285714,822
38,2.32142857142857,2214
39,0.258928571428571,1952
40,0.401785714285714,1680
41,0.339285714285714,1377
42,0.392857142857143,1904
43,0.348214285714286,1740
44,0.375,3699
45,2.30357142857143,1728
46,0.303571428571429,1795
47,0.508928571428571,796
48,0.258928571428571,1648
49,2.28571428571429,2655
50,0.401785714285714,1368
51,0.544642857142857,2142
52,1.88392857142857,3483
53,0.348214285714286,1806
54,0.303571428571429,2120
55,2.11607142857143,1968
56,0.223214285714286,972
57,0.303571428571429,1632
58,0.598214285714286,714
59,0.25,464
60,0.241071428571429,2700
61,0.348214285714286,1680
62,0.535714285714286,445
63,0.357142857142857,480
64,0.598214285714286,1712
65,0.776785714285714,0
66,0.910714285714286,1485
67,2.24107142857143,1038
68,0.857142857142857,819
69,2.29464285714286,3146
70,0.232142857142857,381
71,2.23214285714286,2244
72,0.303571428571429,2290
73,2.375,1314
74,0.330357142857143,1740
75,0.401785714285714,0
76,0.25,3042
77,0.303571428571429,3575
78,0.401785714285714,564
79,0.419642857142857,814
80,0.205357142857143,4224
81,0.232142857142857,1729
82,0.571428571428571,1745
83,0.946428571428571,0
84,0.848214285714286,732
85,0.910714285714286,1480
86,0.946428571428571,328
87,0.910714285714286,354
88,2.33035714285714,2421
89,0.946428571428571,1430
90,0.348214285714286,1500
91,0.4375,0
92,0.883928571428571,0
93,0.0892857142857143,1930
94,1.05357142857143,258
95,0.151785714285714,990
96,0.392857142857143,0
97,0.330357142857143,1026
98,0.633928571428571,0
99,1.0625,900
100,0.589285714285714,439
101,0.580357142857143,814
102,0.553571428571429,463
103,2.27678571428571,1647
104,2.25,1776
105,2.02678571428571,2660
106,0.3125,1278
107,0.285714285714286,1880
108,0.178571428571429,453
109,0.267857142857143,1416
110,0.330357142857143,0
111,0.267857142857143,295
112,0.741071428571429,0
