,network,BC,CC,DC,NBC,PLCi,PR,MEB,MEC,MED,DWT,random,greedy
0,bn_macaque_rhesus_brain_2,0.03714273112191422,0.07130492331491203,0.037114077688733614,0.03714273112191422,0.5136616186489162,0.07130492331491203,0.03710098308523161,0.037008800034776364,0.037008800034776364,0.564989089114966,0.38914486690925904,0.06338893632611312
1,word_adjacencies,0.09788906460973953,0.11863455357205437,0.09606161106243466,0.09710329862044373,0.27919262604636563,0.11863455357205437,0.0920990965350972,0.09201000716297884,0.09015593508505985,0.556156280932253,0.3110279660013647,0.18761415234721668
2,circuits_s208,0.0471591503709072,0.08936411526976792,0.04224245282129593,0.04690004316232298,0.08425117616326327,0.08936411526976792,0.03755649188804545,0.03984514351947487,0.03022468046492905,0.23906117397253604,0.11508939476300481,0.09941926115256122
3,bn_cat_mixed_species_brain_1,0.19271547553240528,0.21697131285686647,0.19957109068716014,0.19205320262305167,0.3292649565535291,0.21697131285686647,0.18727249423670675,0.19689097029047609,0.19121528145481767,0.5926194643550959,0.401625211460207,0.35264979324782075
4,facebook_414,0.15759740745774362,0.313997224734966,0.20596896606296014,0.1587720746764986,0.45992036344749115,0.23325910195523522,0.1576390277096616,0.2038913931837262,0.19508578178548294,0.6291886179499439,0.3438745493116442,0.23091607986530271
5,facebook_686,0.15576235453674925,0.21061927221889507,0.17456200659771604,0.1564864537215604,0.413296821076909,0.21061927221889507,0.15125637057910285,0.1652406685173515,0.1628551407217915,0.6796652431671998,0.3739101248016791,0.23006293599211555
6,polbooks,0.041829122302146214,0.07932712301142682,0.02962733288841403,0.04187838338209197,0.15587227132933887,0.16785102509949423,0.032210474087284724,0.0460659422084987,0.0273612787477395,0.25971216465244223,0.130682264097555,0.12852246847530038
7,jazz,0.20068264006004718,0.25264043994775354,0.23452758033002732,0.20219984071739805,0.5109304670279228,0.25264043994775354,0.1947191909613334,0.22558686529028132,0.22399996605512573,0.6679531148147351,0.46666247293077945,0.3499420636182354
8,facebook_348,0.17980087270028391,0.22919428126608538,0.20679628029066885,0.17960468894567674,0.384533821541371,0.22919428126608538,0.17009671232552123,0.19948933869058544,0.19657056607877255,0.6904349233845599,0.33607534394125355,0.25046853394245616
9,circuits_s420,0.02971785839339921,0.06551093172643024,0.028123267557832454,0.029579375115455137,0.06062127781295353,0.06551093172643024,0.025446204109610286,0.026636214859824953,0.020515700802402725,0.19795133692535732,0.08004675929975562,0.07984418686466203
10,corruption,0.05740175898739822,0.10448063255841304,0.07905245902173189,0.057451109131508526,0.25416110969554684,0.10448063255841304,0.057253550820765366,0.06826868048963525,0.0649677833825955,0.5840496739633748,0.2513605880700224,0.12461779426631145
11,facebook_0,0.07049588086727288,0.12126399937179644,0.07190424888922302,0.07097838962384061,0.19216632559937147,0.10186233508061449,0.05879054910596871,0.07763396893578033,0.06520978817604645,0.5367337345545545,0.23372999210850268,0.09240803042443876
12,circuits_s838,0.019953217905820858,0.051074000179923904,0.01995160985484504,0.01991879380721567,0.04281853423758764,0.051074000179923904,0.018014636910513363,0.018511171741064276,0.01486368074311236,0.16001963163719138,0.0634880361212269,0.06394682188172081
13,crime_net,0.007198901188791391,0.04624896934924577,0.006526624306772704,0.007221027445975972,0.05173361368737294,0.04624896934924577,0.006722407456658002,0.006492463111398193,0.005971313320703569,0.21777166371153606,0.06414447476092278,0.009634864207805398
14,facebook_1684,0.11309897797308606,0.17803597528200274,0.1748932518755396,0.11292633706688379,0.29357250377499394,0.2053982161034349,0.113775542099312,0.17643989950491834,0.16862866042686991,0.48460980141538157,0.28512059067582696,0.2050639771820928
