,network,BC,NBC,MEB,MEC,MED
0,bn_macaque_rhesus_brain_2,0.4257496740547592,0.4317470664928293,0.41473272490221663,0.418448500651891,0.41147327249022225
1,word_adjacencies,0.33126822157434405,0.3297193877551019,0.320881924198251,0.324070699708455,0.3196064139941693
2,circuits_s208,0.4302325581395348,0.4273732367518108,0.3780022874571101,0.40259245139153677,0.382958444529165
3,bn_cat_mixed_species_brain_1,0.4257496740547592,0.4317470664928293,0.41473272490221663,0.418448500651891,0.41147327249022225
4,facebook_414,0.5912418300653595,0.5858823529411764,0.6066666666666667,0.6567320261437908,0.6627450980392157
5,facebook_686,0.4436507936507942,0.4347001763668436,0.45017636684303397,0.48527336860670106,0.4824074074074069
6,polbooks,0.4454489164086685,0.44297213622291,0.4075541795665632,0.361733746130031,0.35659442724458223
7,jazz,0.49926011709451307,0.49990349353406793,0.5095541401273898,0.5461300907160779,0.5461300907160779
8,facebook_348,0.4347859172077914,0.43197037337662253,0.4648183847402588,0.5241477272727268,0.5210785308441555
9,circuits_s420,0.5188208616780046,0.51921768707483,0.461734693877551,0.4774943310657599,0.4386054421768709
10,corruption,0.16539755060600228,0.16565137381813505,0.16298623009074098,0.22706072720350443,0.2028999301986176
11,facebook_0,0.34915441757547083,0.3489963647858392,0.3444286391654821,0.43567251461988293,0.4217322585743638
12,circuits_s838,0.4704799107142857,0.47267020089285716,0.4843052455357143,0.48374720982142855,0.40763113839285714
13,crime_net,0.20116898664350638,0.20208445811131223,0.18095819346963718,0.24136757353113764,0.2193258374216567
14,facebook_1684,0.42264234235574766,0.41921987609680145,0.4357717165404337,0.5537004796412871,0.5615994325650151
