,network,random,BC,greedy
0,bn_macaque_rhesus_brain_2,0.13609697376040003,0.10004926909050421,0.1388067737380512
1,word_adjacencies,0.20009942004970976,0.18046948356807493,0.16779342723004706
2,circuits_s208,0.30350877192982445,0.2617933723196881,0.35057087162350303
3,bn_cat_mixed_species_brain_1,0.10261155522696008,0.08553363214885297,0.07527301572632195
4,facebook_414,0.0778607098748861,0.030882423703128912,0.05367681773201823
5,facebook_686,0.08819960116501738,0.06561061402511394,0.07272615955148522
6,polbooks,0.25809811103928804,0.14162075086444886,0.2013574660633484
7,jazz,0.06626043402568609,0.04810308209770975,0.04732236662090313
8,facebook_348,0.06043137910545225,0.040662943767184885,0.04792644388924073
9,circuits_s420,0.304166666666667,0.20330200501253048,0.33531328320802095
10,corruption,0.08119143310486454,0.016902016132252628,0.056266658940242305
11,facebook_0,0.09985743271769462,0.05386995343327323,0.08139489089270681
12,circuits_s838,0.28964531403555877,0.1543509336192279,0.3277733107001392
13,crime_net,0.18622565758543047,0.07209424301232845,0.12124965976294842
