,network,BC,CC,DC,NBC,PLCi,PR,MEB,MEC,MED,DWT,random,greedy
0,bn_macaque_rhesus_brain_2,0.045603036880493164,0.06768059730529785,0.034944772720336914,0.05060076713562012,0.13832998275756836,0.05029559135437012,0.04988574981689453,0.033255577087402344,0.03767728805541992,0.13331151008605957,0.1486198902130127,0.062485694885253906
1,word_adjacencies,0.1335146427154541,0.13602375984191895,0.14035844802856445,0.13329529762268066,0.22150969505310059,0.1471879482269287,0.1178591251373291,0.1311185359954834,0.13366031646728516,0.21828556060791016,0.21673274040222168,0.15624189376831055
2,circuits_s208,0.11641526222229004,0.1166086196899414,0.08481669425964355,0.1000821590423584,0.13731169700622559,0.11862492561340332,0.08331632614135742,0.08607006072998047,0.08623862266540527,0.23001956939697266,0.18362998962402344,0.14059162139892578
3,bn_cat_mixed_species_brain_1,0.36708664894104004,0.3471512794494629,0.33594703674316406,0.3604912757873535,0.4258842468261719,0.35019612312316895,0.3472635746002197,0.3333749771118164,0.3324618339538574,0.37911367416381836,0.4173738956451416,0.4272928237915039
4,facebook_414,0.4683706760406494,0.6171557903289795,0.6298837661743164,0.44985055923461914,0.9211113452911377,0.5497028827667236,0.48183178901672363,0.6224470138549805,0.6328482627868652,0.9035294055938721,0.834031343460083,0.5311434268951416
5,facebook_686,0.7497124671936035,0.7843809127807617,0.7670984268188477,0.7488970756530762,1.2499547004699707,0.7765524387359619,0.7154638767242432,0.7429122924804688,0.7491283416748047,1.2004714012145996,1.1678402423858643,0.8224849700927734
6,polbooks,0.40106678009033203,0.5155882835388184,0.30319666862487793,0.43985605239868164,0.7643170356750488,0.7333307266235352,0.35510945320129395,0.2996237277984619,0.3168778419494629,0.9511420726776123,0.7175297737121582,0.5773677825927734
7,jazz,1.6888890266418457,1.6685471534729004,1.682365894317627,1.6846935749053955,2.5295724868774414,1.7642464637756348,1.699404239654541,1.6515038013458252,1.663785457611084,2.04982590675354,2.2891921997070312,1.9101147651672363
8,facebook_348,2.1886143684387207,2.346597194671631,2.41324520111084,2.2153236865997314,3.6703951358795166,2.3669285774230957,2.173260450363159,2.34395170211792,2.379673957824707,3.319704532623291,3.1651253700256348,2.415003538131714
9,circuits_s420,0.8418757915496826,1.049149751663208,0.6852645874023438,0.7887187004089355,1.2180523872375488,1.0397124290466309,0.6910133361816406,0.6781487464904785,0.5948243141174316,2.021143674850464,1.586151361465454,1.1252682209014893
10,corruption,1.3679518699645996,2.534473180770874,2.2689173221588135,1.3708488941192627,6.64093017578125,2.518256187438965,1.381056547164917,1.7857441902160645,1.6168997287750244,8.142162084579468,6.572884798049927,3.5022189617156982
11,facebook_0,2.891763925552368,4.288059711456299,3.754143714904785,2.886462926864624,6.789912462234497,4.271668195724487,2.5527586936950684,3.6015357971191406,3.470446825027466,9.357696056365967,7.024269104003906,3.0804085731506348
12,circuits_s838,6.5551979541778564,10.87197756767273,5.627341985702515,6.741782903671265,10.492675304412842,10.838261365890503,5.904315948486328,5.54261040687561,4.801231384277344,17.715984344482422,13.067736625671387,9.977577686309814
13,crime_net,4.363556623458862,9.07351565361023,5.44411039352417,4.328323841094971,32.69322848320007,9.074889183044434,3.9345576763153076,5.268192768096924,4.913652420043945,72.9760730266571,42.141019344329834,5.554160118103027
14,facebook_1684,104.31528496742249,146.94848036766052,133.49644446372986,107.06176495552063,208.3420124053955,146.4821457862854,98.45062303543091,130.4456808567047,130.25174736976624,219.09159970283508,185.53358364105225,146.47596096992493
