"seed","PLci","percolation"
1,0.967741935483871,1092
2,0.274193548387097,872
3,0.741935483870968,924
4,1.41935483870968,675
5,0.161290322580645,945
6,0.451612903225806,387
7,0.306451612903226,960
8,1.08064516129032,1615
9,0.209677419354839,1248
10,1.40322580645161,468
11,1.29032258064516,999
12,1.43548387096774,810
13,1.48387096774194,560
14,1.5,420
15,1.59677419354839,1431
16,1.48387096774194,560
17,0.419354838709677,735
18,0.290322580645161,450
19,0.741935483870968,0
20,0.17741935483871,930
21,0.741935483870968,0
22,1.5,414
23,1.5,414
24,1.33870967741935,203
25,1.58064516129032,275
26,0.370967741935484,136
27,0.354838709677419,219
28,0.209677419354839,110
29,0.419354838709677,52
30,0.274193548387097,246
31,0.451612903225806,275
32,0.548387096774194,132
33,0.516129032258065,220
34,0.306451612903226,148
35,0.532258064516129,0
36,0.5,124
37,0.306451612903226,148
38,0.387096774193548,50
39,0.354838709677419,150
40,0.387096774193548,50
41,0.290322580645161,54
42,0.258064516129032,427
43,0.32258064516129,156
44,0.32258064516129,156
45,0.241935483870968,324
46,0.32258064516129,147
47,0.225806451612903,104
48,0.32258064516129,490
49,0.370967741935484,120
50,0.387096774193548,75
51,0.338709677419355,98
52,0.354838709677419,225
53,0.387096774193548,75
54,0.32258064516129,59
55,0.338709677419355,0
56,1.35483870967742,0
57,1.35483870967742,0
58,0.112903225806452,0
59,0.290322580645161,0
60,0.435483870967742,0
61,0.290322580645161,0
62,0.209677419354839,68
