,network,BC,NBC,MEB,MEC,MED
0,bn_macaque_rhesus_brain_2,0.2198261336831625,0.22010164419490427,0.21459640069813546,0.22459795833668442,0.21922264569944624
1,word_adjacencies,0.11287208470306702,0.11196604840928716,0.10619589702516309,0.10609317152465927,0.10390672203928428
2,circuits_s208,0.09201277455138426,0.0917521065663371,0.08244047726307889,0.08669609134881327,0.0835280679132797
3,bn_cat_mixed_species_brain_1,0.2198261336831625,0.22010164419490427,0.21459640069813546,0.22459795833668442,0.21922264569944624
4,facebook_414,0.3025687552582457,0.30110580306124735,0.30747768892102983,0.3246499307420058,0.3265298326134132
5,facebook_686,0.204992482339014,0.2032811960830898,0.20162917059583865,0.21941481132698523,0.2172133941801712
6,polbooks,0.09408728763860927,0.09366852377884548,0.07884838989019552,0.07193691541708892,0.07047256030153964
7,jazz,0.25528341801479615,0.25587815529617025,0.25912227126971377,0.28733259456534965,0.28715430751552246
8,facebook_348,0.21310844808131818,0.21258145901644696,0.21813537700691688,0.2515726878445427,0.24949091813106222
9,circuits_s420,0.07485500076785223,0.07489602346938946,0.06868661312123805,0.06865649643689484,0.06754033437625595
10,corruption,0.08184749898667923,0.0819297299992447,0.08179493860019467,0.09623914534344159,0.091543886762474
11,facebook_0,0.10380836268571515,0.10394453221462599,0.09679831931882177,0.12117735892333395,0.11801404682622821
12,circuits_s838,0.05098458311257784,0.05096233530835413,0.050874534569805695,0.04992967615689788,0.0487936695694443
13,crime_net,0.02660329945985622,0.02674501167360318,0.024891563775379308,0.031104682860922602,0.028630961120384997
14,facebook_1684,0.16939743009383282,0.16903692349868527,0.17101009752601418,0.2164753382575212,0.21925580856114774
