,network,random,BC,greedy
0,bn_macaque_rhesus_brain_2,0.3587437482887256,0.2325985080711144,0.4027028536499203
1,word_adjacencies,0.2517918953092515,0.20760674927761116,0.19998156661260746
2,circuits_s208,0.0846946366385663,0.0674598672677999,0.0979280833111255
3,bn_cat_mixed_species_brain_1,0.35402260986147716,0.2671778658624222,0.23481464593703968
4,facebook_414,0.32444681335601194,0.13450143908149434,0.20946394538499316
5,facebook_686,0.32883068911935437,0.21111754718428088,0.2553703973467321
6,polbooks,0.12035257351901923,0.07132649777950896,0.08601211926304018
7,jazz,0.3754731824079265,0.23450715769775754,0.25006725665623447
8,facebook_348,0.3321953949707767,0.1877978568245077,0.24742318837595265
9,circuits_s420,0.07171910377515704,0.04407219250101009,0.0786792934336008
10,corruption,0.2512325113907685,0.05560493875807697,0.1725495535110833
11,facebook_0,0.19238427876251615,0.09053513871158014,0.15310711229190568
12,circuits_s838,0.052201324017842714,0.028111561715763664,0.06415089772979286
13,crime_net,0.06933405705127672,0.019374336004816924,0.03766122673071368
