"seed","PLci","percolation"
1,0.064,140148
2,2.4585,1076000
3,2.341,1434354
4,2.8765,446824
5,2.6405,519336
6,3.373,39789
7,0.173,73280
8,2.467,987804
9,2.54,822106
10,2.53,754985
11,0.1255,289458
12,3.6085,68634
13,3.698,32170
14,3.698,32170
15,2.859,491072
16,2.929,429576
17,2.94,336358
18,3.4785,34528
19,3.1965,99728
20,0.012,111881
21,0.0435,250304
22,2.315,1352450
23,2.961,505951
24,3.7115,47400
25,2.686,567099
26,2.402,773955
27,2.8615,705600
28,3.6635,78552
29,3.5825,128928
30,2.8605,639280
31,3.069,415638
32,3.71,46464
33,3.14,202560
34,3.1405,189900
35,3.0775,238914
36,3.1525,188520
37,0.043,208284
38,3.2465,132408
39,3.425,113553
40,2.9125,586980
41,3.117,169560
42,0.122,0
43,2.3445,1989868
44,3.117,91168
45,0.124,1879780
46,2.391,1731380
47,2.507,1627358
48,2.45,1356160
49,0.209,37476
50,0.209,37476
51,3.1055,102830
52,0.056,690030
53,2.7105,987048
54,2.76,926543
55,0.0305,222656
56,0.2795,244560
57,2.9715,201300
58,2.407,1172970
59,2.498,774816
60,2.7905,262818
61,0.033,8285
62,2.7635,399720
63,2.4945,1187934
64,2.4725,1143714
65,2.5485,1532434
66,2.558,1341720
67,2.7385,511007
68,2.7295,473450
69,2.8955,290466
70,2.559,573105
71,2.742,272799
72,2.659,293820
73,3.359,42836
74,3.359,42836
75,0.066,222870
76,2.615,540972
77,2.655,450950
78,2.7695,513728
79,2.94,200577
80,0.0535,488850
81,0.0755,198108
82,2.99,329707
83,0.086,108241
84,0.0225,47928
85,0.1085,835632
86,0.0955,118240
87,2.512,1513700
88,2.883,160460
89,2.657,546175
90,3.15,178685
91,2.8515,402725
92,2.772,499680
93,2.942,451388
94,0.0375,504120
95,3.007,443156
96,2.663,1034145
97,2.6985,826323
98,0.058,697815
99,2.665,391430
100,2.887,188656
101,0.0595,203378
102,2.497,1369472
103,2.6735,684603
104,2.806,585564
105,0.1425,29282
106,3.1095,150337
107,2.742,476470
108,2.7585,504835
109,2.676,504560
110,2.6415,891844
111,0.115,1050939
112,3.0625,221120
113,3.006,249169
114,3.006,249169
115,0.0105,216118
116,0.068,0
117,2.331,1016348
118,2.3055,1108896
119,0.052,519295
120,0.1265,62188
121,2.915,395280
122,2.7315,533096
123,2.427,1018327
124,2.417,970056
125,2.9215,253872
126,2.622,663156
127,2.646,629760
128,2.646,629760
129,2.6825,552844
130,2.687,542120
131,2.718,489132
132,2.7335,472461
133,2.756,460614
134,2.7345,471933
135,2.9285,431700
136,2.5335,585316
137,2.176,1422519
138,0.0855,114328
139,3.114,180516
140,0.0595,880500
141,0.1355,63516
142,3.0905,117792
143,0.053,467108
144,2.905,234912
145,0.118,908310
146,0.086,32037
147,3.203,113202
148,2.873,259696
149,2.4405,886725
150,2.788,426240
151,2.966,198936
152,0.0325,377624
153,0.0795,633116
154,2.6965,535092
155,3.144,129762
156,2.701,317289
157,2.5395,1011540
158,2.4605,1354352
159,0.059,224235
160,2.528,520555
161,2.561,498576
162,0.052,138789
163,2.719,461280
164,2.6915,522468
165,0.0475,494836
166,2.672,489790
167,2.7685,540120
168,2.3405,1771128
169,0.0905,2016750
170,0.0365,581960
171,2.718,338373
172,3.0265,178644
173,3.0075,210000
174,3.0545,164703
175,0.075,159885
176,2.313,1422612
177,2.319,1398905
178,2.334,1246641
179,2.476,1113786
180,0.067,40611
181,0.161,243795
182,3.069,284416
183,0.008,33614
184,3.878,33614
185,0.052,220353
186,0.207,44547
187,2.7135,375600
188,2.5835,793383
189,0.0295,65620
190,0.0255,402792
191,2.7795,206466
192,0.0545,32168
193,2.507,1109713
194,3.0965,87120
195,2.604,901958
196,2.955,428823
197,2.631,399750
198,0.173,267461
199,2.881,241514
200,0.1115,115296
201,2.714,339388
202,3.4935,17458
203,2.4845,1243176
204,2.669,552292
205,3.328,292545
206,3.4825,45005
207,3.3675,77105
208,3.331,172215
209,3.096,231174
210,3.0235,399870
211,2.4155,1118855
212,3.4885,43475
213,3.4885,43475
214,3.4885,43475
215,3.2865,98328
216,3.17,136880
217,0.072,342746
218,3.4875,34764
219,3.098,88860
220,0.068,94794
221,0.1045,512896
222,0.0665,102048
223,3.332,270825
224,3.0505,274344
225,3.239,302000
226,3.1585,122832
227,3.0645,379470
228,3.0165,464752
229,0.0395,302860
230,0.027,352636
231,0.1055,34660
232,2.886,374500
233,3.0565,127647
234,2.8425,343944
235,3.1305,78672
236,3.1345,183148
237,2.156,2750736
238,2.2305,2453100
239,2.6845,467248
240,2.9235,237286
241,2.926,227328
242,0.0935,332200
243,0.0595,177732
244,2.4165,1333747
245,2.455,1196872
246,2.646,457230
247,2.664,497706
248,2.974,223720
249,2.974,223720
250,2.637,232395
251,0.1245,1108196
252,0.033,755409
253,2.497,753342
254,2.528,708700
255,2.523,718998
256,2.718,373520
257,2.6175,391794
258,0.0705,500576
259,2.681,508365
260,2.4775,1323784
261,0.0855,773656
262,2.6665,661451
263,0.071,862662
264,2.8515,329427
265,2.8515,329427
266,3.062,59660
267,0.037,141900
268,0.0245,206766
269,0.096,11145
270,2.8785,538791
271,0.0955,22290
272,0.0955,22290
273,2.5285,701700
274,2.529,687666
275,2.545,614513
276,2.5505,599298
277,0.061,359500
278,2.455,1035004
279,2.8425,853727
280,3.2035,75468
281,0.111,315229
282,3.1085,152800
283,3.1085,152800
284,3.1085,152800
285,3.1085,152800
286,3.1085,152800
287,0.091,170368
288,0.126,172062
289,3.1185,136710
290,2.8385,146610
291,0.175,352981
292,2.859,425068
293,2.8125,477056
294,3.024,113771
295,2.56,423646
296,0.064,947248
297,2.746,525062
298,2.74,553680
299,2.741,522920
300,2.736,553932
301,2.992,213840
302,3.1845,111952
303,3.0545,701960
304,3.3175,61000
305,2.943,212674
306,3.235,79680
307,3.32,104274
308,3.32,104274
309,3.32,104274
310,3.32,104274
311,3.32,104274
312,0.0725,51276
313,2.506,1063154
314,2.863,441224
315,0.1055,644868
316,0.0545,34480
317,0.01,58960
318,0.0335,545394
319,3.1735,220038
320,2.6635,358731
321,2.6635,358731
322,2.6635,358731
323,2.528,402781
324,0.051,625455
325,2.8055,563176
326,3.181,154649
327,2.8965,344169
328,3.2295,155298
329,3.148,168465
330,2.69,584259
331,2.451,994187
332,3.399,128667
333,0.0195,391368
334,0.056,61340
335,2.7205,291061
336,2.82,212732
337,3.131,200291
338,3.131,200291
339,3.131,200291
340,3.4445,132876
341,3.4445,132876
342,3.4445,132876
343,2.9675,225735
344,0.0815,241680
345,2.786,553000
346,2.5575,819516
347,2.4845,1215975
348,2.553,847340
349,2.4805,1009425
350,3.4205,77752
351,2.805,747817
352,2.7955,841590
353,0.1065,103830
354,0.029,240810
355,0.126,40299
356,2.388,1487808
357,2.8195,243472
358,2.5535,486468
359,0.051,672894
360,2.754,552077
361,0.067,132237
362,0.0445,192504
363,3.0175,140730
364,0.0525,53624
365,0.017,57265
366,0.1035,69006
367,0.043,23742
368,0.0355,286740
369,0.011,59766
370,0.0095,122640
371,2.4685,657216
372,3.286,188100
373,2.547,817264
374,0.1425,403984
375,2.4785,1328664
376,2.715,705282
377,2.6755,541446
378,2.534,817128
379,0.1045,356382
380,2.594,692592
381,2.9775,279412
382,3.1475,245803
383,0.0965,889824
384,2.751,510229
385,2.728,660715
386,2.968,143406
387,2.8235,430940
388,2.9255,275796
389,0.04,140967
390,2.817,418912
391,2.944,368664
392,2.9525,340362
393,3.0555,231420
394,3.579,112725
395,0.0855,367718
396,3.7215,46000
397,4.416,5545
398,0.017,122366
399,3.665,112438
400,2.8285,496161
401,2.916,453882
402,2.962,302148
403,3.735,50337
404,3.735,50337
405,3.471,30579
406,0.0195,143780
407,0.0945,0
408,2.877,209136
409,2.8765,226564
410,0.2825,29364
411,0.0765,109360
412,0.0765,109360
413,3.034,680346
414,0.1045,89670
415,0.08,133515
416,2.6475,474870
417,2.781,832320
418,2.7075,930552
419,3.2115,281380
420,3.352,184464
421,3.098,147640
422,4.143,15315
423,4.143,15315
424,3.5905,72423
425,3.5905,72423
426,3.5905,72423
427,3.657,126378
428,3.6575,118944
429,3.657,126378
430,3.2375,172263
431,3.8545,53760
432,3.2575,110300
433,3.26,99711
434,3.1315,171576
435,0.034,265013
436,0.1025,1272480
437,2.477,1036074
438,0.0145,57688
439,2.957,297234
440,0.015,62132
441,0.0305,177480
442,0.025,144452
443,3.1975,292944
444,2.8585,816536
445,0.0305,248528
446,0.019,52542
447,3.3295,138182
448,0.171,74640
449,0.1345,0
450,3.444,147540
451,0.097,348222
452,2.9085,361042
453,0.059,32604
454,2.716,791877
455,2.893,186000
456,2.4925,1293992
457,2.784,476096
458,0.099,1108728
459,0.034,204510
460,3.07,170148
461,3.0165,56760
462,0.2235,364858
463,2.5215,1000656
464,2.4915,1044342
465,2.633,1124782
466,3.003,339297
467,3.028,270780
468,2.861,276786
469,2.6945,371075
470,0.0615,504968
471,3.4435,90468
472,2.6705,671959
473,2.9795,341880
474,3.027,314842
475,3.0225,316228
476,0.0485,730928
477,0.0565,0
478,0.284,49874
479,0.027,1976
