,network,BC,CC,DC,NBC,PLCi,PR,MEB,MEC,MED,DWT,random,greedy
0,bn_macaque_rhesus_brain_2,0.08947268227679418,0.19760137064534603,0.0893774985722444,0.08947268227679418,0.49314677327241563,0.19760137064534603,0.0893774985722444,0.08918713116314485,0.08918713116314485,0.4947648962497619,0.46801827527127354,0.12450028555111366
1,word_adjacencies,0.28840075853350167,0.3261694058154233,0.29630214917825554,0.2870575221238934,0.46286346396965866,0.3261694058154233,0.27939317319848334,0.28215865992414696,0.2784450063211128,0.49992098609355257,0.4560682680151705,0.3778445006321108
2,circuits_s208,0.19152339064374238,0.24936691989870707,0.17932826869252333,0.18999067039850714,0.2960815673730512,0.24936691989870707,0.1613354658136744,0.16346794615487203,0.13994402239104342,0.4848060775689722,0.3781154204984674,0.28968412634946017
3,bn_cat_mixed_species_brain_1,0.37997651203758104,0.3985320023487968,0.37457428068115134,0.38443922489724064,0.4701115678214918,0.3985320023487968,0.3699941280093955,0.37457428068115145,0.36682325308279573,0.5000000000000002,0.48837345860246634,0.4638872577803876
4,facebook_414,0.26706401766004456,0.3736865342163353,0.3812803532008827,0.2659161147902876,0.45558498896247274,0.3716997792494483,0.2808388520971306,0.38856512141280336,0.3884768211920531,0.4948344370860926,0.4671964679911699,0.36838852097130265
5,facebook_686,0.34953508030431146,0.40856579318117764,0.3888419273034648,0.34978162862778284,0.4738306565229642,0.40856579318117764,0.3543251620174701,0.3762679628064248,0.3747182304874619,0.5,0.476155255001409,0.4129332206255282
6,polbooks,0.2064205015155697,0.24571507302287163,0.15613116561036125,0.2075227335354096,0.3946266189032793,0.4068338385230093,0.17660512537889314,0.15869385505648978,0.14527418021493554,0.46831082942959484,0.3667401488013222,0.3371727748691097
7,jazz,0.39853306938734145,0.4223897264098283,0.4435307852393282,0.39858382823207,0.4889599512715091,0.4223897264098283,0.4011979087355976,0.43817572712045105,0.4374143444495206,0.5000000000000001,0.49078726968174213,0.45413938378762514
8,facebook_348,0.36228174603174645,0.41208333333333386,0.4216468253968257,0.3605158730158732,0.47488095238095285,0.41208333333333386,0.3696626984126977,0.4199007936507941,0.417460317460318,0.5,0.46765873015873016,0.41202380952381024
9,circuits_s420,0.16939582156973473,0.2702804441934876,0.16574126356734983,0.16895664721751694,0.3022774327122145,0.2702804441934876,0.15813413639500626,0.15954576824142058,0.12715665976535553,0.4860875839136705,0.35679779158040004,0.2965367965367956
10,corruption,0.102766468316108,0.186386887984132,0.1831819605386784,0.10293350036538246,0.4504332393778063,0.186386887984132,0.10099175279256685,0.1394404426349306,0.1231339388245123,0.5000000000000001,0.42645370080384204,0.28265998538469583
11,facebook_0,0.22893851935767923,0.32479185772599006,0.2589505673337992,0.23008937080793193,0.4099818381255512,0.3029256801711887,0.21270072467677079,0.2454370538202857,0.24049198899498134,0.4964845084605562,0.4451996907086729,0.24265882649116155
12,circuits_s838,0.16376934088693956,0.3202287402534113,0.1606397721734893,0.16451937134502925,0.30220897295321636,0.3202287402534113,0.1621740984405458,0.1590978313840156,0.12101760477582846,0.4864651864035088,0.3436015168128655,0.30002741228070173
13,crime_net,0.041584836720712726,0.10926800990742527,0.043441600646442494,0.041771040103993066,0.26537144061693135,0.10926800990742527,0.03640451806699834,0.04163226588437877,0.03916243610237726,0.49653591441670963,0.3033376078135166,0.06212166458798193
14,facebook_1684,0.2920615213504446,0.4128716968809319,0.4282261688830242,0.2885745139690463,0.4620260531344262,0.4516668768247352,0.3118050638395567,0.42351054508537106,0.42419760031814346,0.4996847628931978,0.4705358384175414,0.4360391993300779
