"seed","PLci","percolation"
1,1.49019607843137,180
2,0.529411764705882,NA
3,0.53921568627451,NA
4,0.735294117647059,NA
5,0.754901960784314,NA
6,0.931372549019608,NA
7,0.764705882352941,NA
8,1.72549019607843,567
9,0.529411764705882,NA
10,0.823529411764706,NA
11,0.794117647058823,NA
12,0.735294117647059,NA
13,0.980392156862745,NA
14,1.83333333333333,0
15,1.41176470588235,540
16,1.48039215686275,1096
17,1.83333333333333,0
18,1.46078431372549,492
19,1.50980392156863,730
20,1.51960784313725,0
21,1.76470588235294,504
22,1.18627450980392,368
23,1.77450980392157,492
24,1.53921568627451,1096
25,1.41176470588235,1090
26,1.85294117647059,0
27,1.57843137254902,0
28,1.50980392156863,63
29,1.29411764705882,518
30,1.59803921568627,0
31,1.30392156862745,0
32,1.44117647058824,0
33,1.83333333333333,0
34,1.72549019607843,711
35,1.26470588235294,104
36,1.57843137254902,0
37,1.32352941176471,0
38,1.31372549019608,63
39,1.35294117647059,72
40,1.59803921568627,0
41,1.46078431372549,0
42,1.7156862745098,0
43,1.33333333333333,1050
44,1.40196078431373,0
45,1.5,1122
46,1.55882352941176,928
47,1.51960784313725,952
48,1.46078431372549,568
49,1.70588235294118,975
50,1.47058823529412,917
51,1.7843137254902,970
52,1.45098039215686,917
53,1.45098039215686,725
54,1.75490196078431,896
55,1.74509803921569,624
56,1.41176470588235,730
57,1.47058823529412,1090
58,1.73529411764706,574
59,1.52941176470588,917
60,1.46078431372549,896
61,1.53921568627451,1260
62,1.53921568627451,1260
63,1.68627450980392,553
64,1.81372549019608,804
65,1.47058823529412,1090
66,1.75490196078431,520
67,1.30392156862745,486
68,1.30392156862745,568
69,1.56862745098039,917
70,1.44117647058824,1260
71,1.7156862745098,1088
72,1.46078431372549,112
73,1.53921568627451,112
74,1.33333333333333,837
75,1.41176470588235,546
76,1.72549019607843,294
77,1.81372549019608,112
78,1.7843137254902,477
79,1.22549019607843,1084
80,1.54901960784314,970
81,1.73529411764706,924
82,1.7156862745098,1092
83,1.72549019607843,294
84,1.74509803921569,621
85,1.76470588235294,840
86,1.74509803921569,693
87,1.73529411764706,576
88,1.73529411764706,430
89,1.74509803921569,837
90,1.76470588235294,477
91,1.49019607843137,627
92,1.75490196078431,574
93,1.38235294117647,560
94,1.76470588235294,840
95,1.74509803921569,621
96,1.73529411764706,572
97,1.41176470588235,840
98,1.72549019607843,294
99,1.84313725490196,0
100,1.74509803921569,293
101,1.43137254901961,480
102,1.47058823529412,225
