"seed","PLci","percolation"
1,0.419354838709677,320
2,0.32258064516129,595
3,0.225806451612903,231
4,0.5,172
5,0.306451612903226,0
6,0.258064516129032,120
7,0.193548387096774,205
8,0.403225806451613,460
9,0.193548387096774,435
10,0.645161290322581,132
11,0.306451612903226,348
12,0.354838709677419,0
13,0.5,0
14,0.596774193548387,252
15,1.12903225806452,770
16,0.338709677419355,492
17,1.2741935483871,450
18,0.548387096774194,392
19,0.629032258064516,354
20,0.225806451612903,264
21,0.338709677419355,600
22,0.516129032258065,235
23,0.274193548387097,0
24,0.467741935483871,172
25,0.516129032258065,275
26,0.112903225806452,112
27,0.274193548387097,128
28,0.274193548387097,288
29,0.5,412
30,0.306451612903226,352
31,0.274193548387097,368
32,0.419354838709677,0
33,0.241935483870968,72
34,0.290322580645161,747
35,0.370967741935484,236
36,0.564516129032258,0
37,0.209677419354839,582
38,0.435483870967742,660
39,0.32258064516129,476
40,0.483870967741935,117
41,0.580645161290323,385
42,0.661290322580645,280
43,0.354838709677419,525
44,0.5,414
45,0.451612903225806,276
46,0.629032258064516,530
47,0.258064516129032,55
48,0.354838709677419,535
49,0.32258064516129,0
50,0.193548387096774,66
51,1.29032258064516,222
52,0.161290322580645,693
53,0.451612903225806,333
54,0.258064516129032,60
55,0.274193548387097,462
56,0.419354838709677,48
57,0.193548387096774,41
58,0.580645161290323,456
59,0.580645161290323,0
60,0.306451612903226,376
61,0.32258064516129,0
62,0.467741935483871,176
