network,BC,CC,DC,NBC,PLCi,percolation,proximity,MEB,MEC,MED,DWT
arenas_email,0.18648151543387934,0.3026584165143674,0.18299325593862387,0.18028273878043682,0.4057878317788259,0.3876899043351765,0.40300503788389336,0.32459231315975207,0.1883671289866372,0.2697281306361552,0.49289246198285597
bn_cat_mixed_species_brain_1,0.3752071005917163,0.3939053254437876,0.3697633136094679,0.37970414201183483,0.46603550295858026,0.3801183431952665,0.3939053254437876,0.4133727810650889,0.37946745562130213,0.40136094674556255,0.4961538461538463
bn_macaque_rhesus_brain_2,0.08054594386774315,0.1897347174163788,0.08044982698961935,0.08054594386774315,0.4881776239907727,0.0989042675893887,0.1897347174163788,0.11255286428296807,0.08064206074586695,0.09602076124567471,0.4898116109188772
circuits_s208,0.18489653319000257,0.24321418973394238,0.17260145122278991,0.18335124966406866,0.29031174415479744,0.222252082773448,0.24321418973394238,0.3233001881214727,0.1640687987100241,0.23925020155872032,0.4805831765654392
circuits_s420,0.16609977324263048,0.267384731670446,0.1624307130259504,0.16565885613504672,0.2995086923658344,0.22885172587553607,0.267384731670446,0.33453010833963204,0.1565255731922399,0.2449609473418991,0.48404824892920095
circuits_s838,0.16213607788085938,0.31890106201171875,0.15900039672851562,0.1628875732421875,0.3008460998535156,0.23482894897460938,0.31890106201171875,0.3406639099121094,0.16067886352539062,0.24548721313476562,0.4854621887207031
e_coli,0.01924200816115444,0.16821514300037047,0.011066648975733073,0.017055353337714556,0.3839612748696536,0.4057962981374992,0.4214382244030271,0.35292303993520696,0.0195194971525336,0.033475703777556765,0.4726856950441018
facebook_0,0.22670418165913472,0.3228453678904135,0.25680635590545337,0.2278584891197486,0.4082911740569403,0.3012021030039042,0.30091352613875094,0.29590852113374555,0.22331340349358256,0.24768011254497657,0.49505361217072913
facebook_107,0.3984750588314521,0.4402004945957368,0.4537691412665661,0.3950592804043558,0.4875817934894428,0.45043005885015674,0.4402004945957368,0.4577919405587199,0.4521444952841295,0.45426392406720617,0.4995164410058026
facebook_1684,0.2911786414933096,0.41214251953719444,0.4275165264909435,0.28768719771575185,0.4613594131396118,0.4507572078809164,0.45098705721629523,0.4391643843598844,0.4248959203361605,0.43466451708978204,0.49906603474286027
facebook_348,0.35943478954081665,0.4094587053571433,0.4190648915816329,0.3576610331632654,0.4725366709183678,0.4456712372448978,0.4094587053571433,0.433633609693878,0.4207788584183679,0.4312619579081635,0.49776785714285715
facebook_414,0.2622666666666671,0.3695999999999997,0.3772444444444441,0.26111111111111174,0.45204444444444436,0.4029333333333331,0.3676000000000002,0.3603555555555558,0.39559999999999995,0.37133333333333357,0.4915555555555556
facebook_686,0.3456632653061228,0.40504535147392257,0.38520408163265224,0.34591128117913866,0.4706986961451247,0.40458475056689264,0.40504535147392257,0.4118126417233552,0.3804917800453517,0.39909297052154163,0.49702380952380953
polbooks,0.20238227146814475,0.2418836565096955,0.1518282548476457,0.20349030470914167,0.39157894736842114,0.24346260387811575,0.4038504155124656,0.32944598337950154,0.15493074792243794,0.23800554016620518,0.46565096952908563
word_adjacencies,0.2820471938775516,0.3201530612244895,0.2900191326530611,0.2806919642857148,0.45806760204081626,0.2758290816326533,0.3201530612244895,0.37356505102040816,0.2895408163265306,0.3378507653061223,0.4954559948979592
corruption,0.09986279992878146,0.1837538358416858,0.1805385364627518,0.10003037253484967,0.4486547061719092,0.19686639226652608,0.1837538358416858,0.3851551617599316,0.15506750034038214,0.2250919031011421,0.4983818770226538
crime_net,0.040313729077106245,0.10808666774549879,0.04217295555446165,0.04050017941447581,0.2643971321827363,0.06181180476890666,0.10808666774549879,0.2310911214460108,0.0441412378895233,0.11055625523292388,0.49586819016527284
jazz,0.39549535761657045,0.41947250280583753,0.4407203346597289,0.39554637281910066,0.4863789409243955,0.4632180389756142,0.41947250280583753,0.43709825528007323,0.4370472400775433,0.43314457708397097,0.49747474747474757
petster_hamster,0.19611699999999865,0.2355685000000028,0.2003545000000013,0.19343349999999812,0.4236289999999995,0.19473449999999723,0.2355685000000028,0.2347457500000046,0.19622875000000156,0.21041174999999734,0.499681
email,0.25777583199669185,0.28932864580128,0.2518522788619366,0.2571167938651831,0.4349308905817536,0.2589030520632315,0.28932864580128,0.30883414908128254,0.25177827339799513,0.2806053491149305,0.4995322075674092
