"seed","PLci","percolation"
1,0.18,63200
2,0.064,29862
3,0.294,48576
4,0.188,33993
5,0.18,36975
6,0.368,41616
7,0.138,56750
8,0.132,53805
9,0.182,57240
10,0.106,13240
11,0.042,12600
12,0.05,12904
13,0.214,9888
14,0.312,33285
15,0.064,19994
16,0.068,23340
17,0.092,31626
18,0.054,25744
19,0.258,16920
20,0.26,14400
21,0.048,22815
22,0.226,14830
23,0.122,18072
24,0.054,18774
25,0.302,30500
26,0.084,25126
27,0.068,27683
28,0.178,35496
29,0.122,16070
30,0.078,24832
31,0.144,13149
32,0.348,9758
33,0.05,11200
34,0.146,12464
35,0.366,17760
36,0.356,15994
37,0.082,6220
38,0.034,5928
39,0.284,4878
40,0.086,6364
41,0.044,16467
42,0.034,11544
43,0.034,10110
44,0.044,12357
45,0.268,13302
46,0.054,5744
47,0.158,17088
48,0.218,9504
49,0.258,9252
50,0.11,26118
51,0.078,30140
52,0.23,12256
53,0.13,6500
54,0.088,7320
55,0.074,15610
56,0.066,6100
57,0.224,14517
58,0.04,12933
59,0.272,7655
60,0.09,11136
61,0.108,14553
62,0.06,10710
63,0.238,18684
64,0.038,6480
65,0.06,12089
66,0.046,19584
67,0.08,4914
68,0.086,10056
69,0.342,11120
70,0.036,9282
71,0.078,13400
72,0.22,7785
73,0.11,4460
74,0.268,17787
75,0.22,14895
76,0.064,3093
77,0.054,9480
78,0.046,6296
79,0.048,4851
80,0.122,10572
81,0.382,12112
82,0.052,16797
83,0.046,8376
84,0.08,7185
85,0.108,7385
86,0.08,3246
87,0.278,6192
88,0.16,6085
89,0.036,3489
90,0.034,4264
91,0.048,6095
92,0.134,11224
93,0.126,4892
94,0.076,4620
95,0.07,6232
96,0.33,8850
97,0.11,11848
98,0.334,5576
99,0.058,17724
100,0.252,7860
101,0.09,5296
102,0.068,9380
103,0.134,8508
104,0.06,7826
105,0.058,6292
106,0.13,7362
107,0.036,5880
108,0.046,9252
109,0.032,10850
110,0.056,9842
111,0.03,9288
112,0.08,16280
113,0.058,5916
114,0.072,11151
115,0.212,3990
116,0.336,7850
117,0.054,13920
118,0.034,5400
119,0.17,13130
120,0.214,9180
121,0.112,9695
122,0.056,3725
123,0.078,11310
124,0.128,4743
125,0.086,3026
126,0.074,5724
127,0.028,5785
128,0.036,11898
129,0.19,6016
130,0.12,2562
131,0.068,6395
132,0.044,14058
133,0.136,4341
134,0.13,8916
135,0.036,5220
136,0.334,9450
137,0.226,2870
138,0.054,8208
139,0.058,5036
140,0.084,2661
141,0.256,8125
142,0.064,4647
143,0.028,7110
144,0.214,8184
145,0.066,5308
146,0.028,5715
147,0.096,3132
148,0.328,8220
149,0.138,2482
150,0.048,10878
151,0.044,15180
152,0.08,5915
153,0.048,5560
154,0.048,9846
155,0.084,3786
156,0.124,8000
157,0.036,6885
158,0.052,6360
159,0.042,13090
160,0.08,2829
161,0.052,7580
162,0.158,2436
163,0.156,5109
164,0.056,11358
165,0.044,7224
166,0.336,10766
167,0.066,7686
168,0.332,4407
169,0.184,4635
170,0.052,2655
171,0.388,4326
172,0.232,3987
173,0.04,5700
174,0.098,4484
175,0.058,4616
176,0.072,3678
177,0.47,3184
178,0.044,2409
179,0.052,4197
180,0.336,13887
181,0.416,10514
182,0.058,3864
