"seed","PLci","percolation"
1,0.054,8088
2,0.07,3068
3,0.062,5478
4,0.046,2380
5,0.056,7336
6,0.06,2160
7,0.052,349
8,0.046,12070
9,0.066,10680
10,0.058,7448
11,0.082,5694
12,0.044,1464
13,0.086,8344
14,0.07,5586
15,0.066,10460
16,0.064,1725
17,0.06,3855
18,0.06,386
19,0.058,5322
20,0.048,6762
21,0.062,810
22,0.06,6090
23,0.066,3152
24,0.052,4160
25,0.066,7248
26,0.042,7392
27,0.072,7515
28,0.04,1353
29,0.078,6534
30,0.052,10125
31,0.038,784
32,0.044,1392
33,0.086,8720
34,0.024,807
35,0.072,1998
36,0.062,8112
37,0.052,1761
38,0.05,938
39,0.072,449
40,0.068,4515
41,0.036,1338
42,0.054,2780
43,0.056,1464
44,0.06,2885
45,0.044,3680
46,0.056,1620
47,0.03,0
48,0.064,7203
49,0.034,488
50,0.058,5064
51,0.064,5495
52,0.046,644
53,0.066,7416
54,0.058,4968
55,0.068,4280
56,0.062,8680
57,0.072,2019
58,0.05,5322
59,0.052,405
60,0.074,12080
61,0.056,9234
62,0.066,1118
63,0.054,2680
64,0.05,4914
65,0.064,4510
66,0.072,7329
67,0.048,268
68,0.058,1032
69,0.048,1539
70,0.04,1269
71,0.082,12440
72,0.09,5970
73,0.068,3585
74,0.074,8872
75,0.056,9495
76,0.072,6398
77,0.062,5070
78,0.042,7016
79,0.04,249
80,0.088,3630
81,0.06,9162
82,0.062,5472
83,0.056,1845
84,0.042,4878
85,0.056,13090
86,0.046,674
87,0.058,2520
88,0.068,1638
89,0.086,7344
90,0.062,2640
91,0.072,4595
92,0.068,7973
93,0.062,3020
94,0.07,2628
95,0.052,1521
96,0.032,3355
97,0.062,8184
98,0.076,4805
99,0.09,3884
100,0.094,14844
101,0.06,6503
102,0.076,4645
103,0.048,6685
104,0.064,4050
105,0.082,4866
106,0.058,3064
107,0.056,4921
108,0.026,1412
109,0.052,1644
110,0.078,11470
111,0.066,2952
112,0.056,5292
113,0.068,12474
114,0.052,338
115,0.03,366
116,0.044,1929
117,0.08,2082
118,0.05,2268
119,0.068,445
120,0.048,1410
121,0.032,1497
122,0.084,13585
123,0.076,6363
124,0.076,6020
125,0.056,3610
126,0.036,1473
127,0.07,5508
128,0.074,8784
129,0.068,3795
130,0.086,9248
131,0.048,4225
132,0.046,3080
133,0.074,1378
134,0.036,219
135,0.062,3068
136,0.05,4926
137,0.058,5604
138,0.036,3530
139,0.052,1905
140,0.058,2532
141,0.058,0
142,0.064,3490
143,0.052,2019
144,0.054,5208
145,0.036,0
146,0.058,3012
147,0.074,8248
148,0.068,4730
149,0.038,1892
150,0.056,6531
151,0.052,7273
152,0.038,928
153,0.03,4938
154,0.056,1812
155,0.052,3890
156,0.066,1044
157,0.056,4600
158,0.044,1563
159,0.034,2292
160,0.07,3220
161,0.038,2440
162,0.062,9920
163,0.048,1956
164,0.038,2232
165,0.044,1743
166,0.092,5135
167,0.058,2616
168,0.048,1566
169,0.034,456
170,0.044,1713
171,0.048,1812
172,0.06,1896
173,0.052,3575
174,0.068,7427
