"seed","PLci","percolation"
1,1.2156862745098,180
2,0.529411764705882,NA
3,0.53921568627451,NA
4,0.754901960784314,NA
5,0.774509803921569,NA
6,1.00980392156863,NA
7,0.784313725490196,NA
8,1.50980392156863,567
9,0.529411764705882,NA
10,0.823529411764706,NA
11,0.794117647058823,NA
12,0.715686274509804,NA
13,0.901960784313726,NA
14,1.26470588235294,0
15,1.3921568627451,540
16,1.65686274509804,1096
17,0.852941176470588,0
18,1.79411764705882,492
19,1.80392156862745,730
20,1.83333333333333,0
21,1.82352941176471,504
22,1.26470588235294,368
23,1.77450980392157,492
24,1.46078431372549,1096
25,1.70588235294118,1090
26,1.83333333333333,0
27,1.57843137254902,0
28,1.29411764705882,63
29,1.80392156862745,518
30,1.51960784313725,0
31,1.51960784313725,0
32,1.36274509803922,0
33,1.55882352941176,0
34,0.843137254901961,711
35,1.81372549019608,104
36,1.26470588235294,0
37,1.51960784313725,0
38,1.31372549019608,63
39,1.50980392156863,72
40,1.83333333333333,0
41,1.2843137254902,0
42,1.32352941176471,0
43,1.41176470588235,1050
44,1.2843137254902,0
45,1.7156862745098,1122
46,1.69607843137255,928
47,1.26470588235294,952
48,1.48039215686275,568
49,1.72549019607843,975
50,1.52941176470588,917
51,1.76470588235294,970
52,1.49019607843137,917
53,1.7843137254902,725
54,1.69607843137255,896
55,1.7843137254902,624
56,1.7843137254902,730
57,1.7843137254902,1090
58,1.67647058823529,574
59,1.7843137254902,917
60,1.40196078431373,896
61,1.42156862745098,1260
62,1.53921568627451,1260
63,1.47058823529412,553
64,1.73529411764706,804
65,1.47058823529412,1090
66,1.61764705882353,520
67,1.30392156862745,486
68,1.53921568627451,568
69,1.80392156862745,917
70,1.53921568627451,1260
71,1.53921568627451,1088
72,1.30392156862745,112
73,1.53921568627451,112
74,1.70588235294118,837
75,1.45098039215686,546
76,1.72549019607843,294
77,1.34313725490196,112
78,1.43137254901961,477
79,1.77450980392157,1084
80,1.7843137254902,970
81,1.79411764705882,924
82,1.77450980392157,1092
83,1.72549019607843,294
84,1.7843137254902,621
85,1.76470588235294,840
86,1.74509803921569,693
87,1.73529411764706,576
88,1.73529411764706,430
89,1.76470588235294,837
90,1.76470588235294,477
91,1.74509803921569,627
92,1.69607843137255,574
93,1.83333333333333,560
94,1.70588235294118,840
95,1.74509803921569,621
96,1.75490196078431,572
97,1.70588235294118,840
98,1.72549019607843,294
99,1.99019607843137,0
100,1.74509803921569,293
101,1.45098039215686,480
102,1.47058823529412,225
