"seed","PLci","percolation"
1,0.206666666666667,22620
2,0.233333333333333,24990
3,1.56666666666667,22737
4,1.71333333333333,22836
5,1.63333333333333,16440
6,1.54,9176
7,1.72666666666667,32760
8,1.51333333333333,37708
9,1.60666666666667,29885
10,1.50666666666667,35391
11,1.62666666666667,42312
12,1.57333333333333,45188
13,1.92,26059
14,1.58,18870
15,1.7,23698
16,1.60666666666667,37202
17,1.44666666666667,26124
18,1.56666666666667,33896
19,1.79333333333333,31320
20,1.96,23020
21,1.93333333333333,27480
22,2.06,19335
23,1.71333333333333,9008
24,1.82,28500
25,1.52666666666667,34891
26,1.62666666666667,32472
27,1.80666666666667,27744
28,1.41333333333333,39000
29,0.24,5968
30,0.186666666666667,26013
31,2.12,17680
32,1.62666666666667,10800
33,1.86,21622
34,1.67333333333333,41762
35,1.58,27027
36,1.59333333333333,21917
37,1.56,8288
38,1.51333333333333,58016
39,1.64666666666667,43946
40,1.67333333333333,37777
41,1.75333333333333,34380
42,0.206666666666667,22620
43,1.47333333333333,37076
44,1.78666666666667,37037
45,0.2,24266
46,0.2,23751
47,0.206666666666667,22620
48,0.193333333333333,24882
49,1.46,21850
50,2.1,8876
51,1.64666666666667,5644
52,1.92666666666667,13168
53,0.213333333333333,18140
54,2.18,2637
55,1.63333333333333,43050
56,1.68,20448
57,1.74,29204
58,0.42,27870
59,2.08666666666667,24228
60,0.193333333333333,24882
61,1.50666666666667,8349
62,1.48,29988
63,1.96666666666667,5971
64,2.04666666666667,24757
65,2,16650
66,2.14666666666667,13510
67,2.04666666666667,19695
68,2.08666666666667,23883
69,2.13333333333333,11154
70,1.62666666666667,14694
71,2.16,19810
72,1.72666666666667,35508
73,0.2,24266
74,0.22,20957
75,1.60666666666667,45408
76,1.63333333333333,43050
77,2.02666666666667,16172
78,1.66666666666667,12489
79,2.14,15600
80,0.2,23751
81,0.193333333333333,24882
82,1.74666666666667,29673
83,1.57333333333333,50352
84,1.89333333333333,23782
85,1.68666666666667,14064
86,0.2,23751
87,1.91333333333333,8701
88,1.79333333333333,21480
89,1.79333333333333,40599
90,2.1,22688
91,1.76,20272
92,0.193333333333333,24882
93,1.68,8082
94,1.68666666666667,38739
95,1.65333333333333,38850
96,1.64,4200
97,1.70666666666667,34144
98,0.28,3730
99,0.593333333333333,2036
100,0.606666666666667,4540
101,1.70666666666667,24820
102,1.82666666666667,28652
103,1.91333333333333,11396
104,0.7,5952
105,1.95333333333333,25850
106,2.10666666666667,9368
107,2.30666666666667,3192
108,1.78666666666667,24090
109,1.66,6494
110,0.2,24266
111,0.2,23751
112,0.186666666666667,1546
113,2.17333333333333,7722
114,1.94,37830
115,2.04,20560
116,1.71333333333333,18460
117,2.13333333333333,5224
118,1.74666666666667,25410
119,2.08666666666667,15864
120,2.06666666666667,26860
121,2.11333333333333,3436
122,2.08666666666667,23834
123,0.233333333333333,18751
124,1.86666666666667,11856
125,2.06666666666667,18424
126,0.193333333333333,24882
127,0.2,23751
128,0.273333333333333,768
129,0.62,1792
130,2.19333333333333,15389
131,0.193333333333333,24882
132,2.09333333333333,11826
133,2.28,4515
134,2.06666666666667,13970
135,0.52,996
136,2.25333333333333,1899
137,0.593333333333333,1794
138,0.68,2547
139,1.77333333333333,4734
140,2.14,6845
141,2.36666666666667,5420
142,2.31333333333333,1890
143,2.31333333333333,1890
144,1.86,7020
145,0.28,1457
146,0.533333333333333,0
147,2.08,6340
148,0.626666666666667,1003
149,0.00666666666666667,0
150,0.00666666666666667,0
