"seed","PLci","percolation"
1,0.393939393939394,0
2,0.515151515151515,138
3,0.848484848484849,0
4,1.66666666666667,196
5,1.42424242424242,615
6,2.12121212121212,42
7,1.09090909090909,37
8,1.54545454545455,684
9,0.727272727272727,105
10,1.81818181818182,259
11,2.03030303030303,120
12,1.78787878787879,296
13,2.06060606060606,207
14,1.63636363636364,408
15,1.63636363636364,630
16,0.96969696969697,126
17,2.03030303030303,120
18,1.72727272727273,54
19,0.363636363636364,343
20,0.818181818181818,316
21,1.81818181818182,224
22,0.96969696969697,59
23,0.393939393939394,96
24,1.72727272727273,174
25,0.545454545454545,189
26,2.33333333333333,52
27,0.818181818181818,216
28,0.484848484848485,153
29,0.818181818181818,0
30,0.606060606060606,87
31,0.242424242424242,183
32,0.272727272727273,0
33,0.363636363636364,40
